individual,species,lab,sex,age,condition,round,range,urban_habitat,adult_sociality,caching,source,live_hunting,flock_size,touch,latency
AL166,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,77
AL166,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,22
AL167,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,15
AL167,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,13
AL167,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,22
AL167,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL167,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL167,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL168,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,19
AL168,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,0,600
AL168,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,140
AL168,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL168,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL168,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,117
AL170,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,63
AL170,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,193
AL170,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,43
AL170,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,142
AL170,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,498
AL170,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL172,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,20
AL172,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,95
AL172,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,13
AL172,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL172,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL172,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL173,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,24
AL173,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,132
AL173,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,8
AL173,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL173,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,1,187
